,seed,noise_snr,noise_test,accuracy
420,6,18,kitchen,0.947239263803681
421,7,18,kitchen,0.9488752556237219
422,8,18,kitchen,0.9492842535787321
423,9,18,kitchen,0.9474437627811861
424,10,18,kitchen,0.9443762781186094
425,11,18,kitchen,0.9546012269938651
426,12,18,kitchen,0.9468302658486708
427,13,18,kitchen,0.9470347648261759
428,14,18,kitchen,0.9501022494887525
429,15,18,kitchen,0.9496932515337423
430,16,18,kitchen,0.9476482617586912
431,17,18,kitchen,0.9486707566462168
432,18,18,kitchen,0.9484662576687116
433,19,18,kitchen,0.9503067484662576
434,20,18,kitchen,0.9466257668711656
435,21,18,kitchen,0.9486707566462168
436,22,18,kitchen,0.9513292433537832
437,23,18,kitchen,0.9505112474437628
438,24,18,kitchen,0.9519427402862985
439,0,18,office,0.9543967280163599
440,1,18,office,0.9586912065439673
441,2,18,office,0.9535787321063395
442,3,18,office,0.9574642126789366
443,4,18,office,0.9525562372188139
444,5,18,office,0.9556237218813906
445,6,18,office,0.9566462167689161
446,7,18,office,0.9533742331288344
447,8,18,office,0.9580777096114519
448,9,18,office,0.9564417177914111
449,10,18,office,0.9548057259713701
450,11,18,office,0.9601226993865031
451,12,18,office,0.9574642126789366
452,13,18,office,0.9548057259713701
453,14,18,office,0.959918200408998
454,15,18,office,0.9574642126789366
455,16,18,office,0.9556237218813906
456,17,18,office,0.9576687116564417
457,18,18,office,0.9603271983640081
458,19,18,office,0.9554192229038855
459,20,18,office,0.9552147239263804
460,21,18,office,0.9539877300613497
461,22,18,office,0.9588957055214724
462,23,18,office,0.9580777096114519
463,24,18,office,0.9580777096114519
464,0,18,living,0.9546012269938651
465,1,18,living,0.9541922290388548
466,2,18,living,0.9521472392638037
467,3,18,living,0.9562372188139059
468,4,18,living,0.9498977505112475
469,5,18,living,0.9541922290388548
470,6,18,living,0.9541922290388548
471,7,18,living,0.9539877300613497
472,8,18,living,0.9533742331288344
473,9,18,living,0.9529652351738241
474,10,18,living,0.9546012269938651
475,11,18,living,0.9595092024539877
476,12,18,living,0.9550102249488752
477,13,18,living,0.9556237218813906
478,14,18,living,0.9576687116564417
479,15,18,living,0.9539877300613497
480,16,18,living,0.9552147239263804
481,17,18,living,0.9533742331288344
482,18,18,living,0.9525562372188139
483,19,18,living,0.9558282208588957
484,20,18,living,0.9507157464212679
485,21,18,living,0.9527607361963191
486,22,18,living,0.9548057259713701
487,23,18,living,0.9554192229038855
488,24,18,living,0.9558282208588957
489,0,15,white,0.8586912065439672
490,1,15,white,0.9085889570552147
491,2,15,white,0.8891615541922291
492,3,15,white,0.8860940695296523
493,4,15,white,0.9085889570552147
494,5,15,white,0.8995910020449898
495,6,15,white,0.9104294478527607
496,7,15,white,0.8805725971370143
497,8,15,white,0.8905930470347648
498,9,15,white,0.9137014314928426
499,10,15,white,0.8830265848670756
500,11,15,white,0.9153374233128835
501,12,15,white,0.9094069529652352
502,13,15,white,0.8959100204498978
503,14,15,white,0.8838445807770962
504,15,15,white,0.8989775051124744
505,16,15,white,0.8942740286298568
506,17,15,white,0.8957055214723927
507,18,15,white,0.8946830265848671
508,19,15,white,0.901635991820041
509,20,15,white,0.8959100204498978
510,21,15,white,0.8979550102249488
511,22,15,white,0.9179959100204499
512,23,15,white,0.8832310838445808
513,24,15,white,0.8920245398773006
514,0,15,pink,0.8623721881390594
515,1,15,pink,0.9175869120654396
516,2,15,pink,0.8824130879345603
517,3,15,pink,0.8897750511247444
518,4,15,pink,0.9008179959100204
519,5,15,pink,0.9051124744376278
520,6,15,pink,0.9049079754601227
521,7,15,pink,0.8997955010224948
522,8,15,pink,0.905316973415133
523,9,15,pink,0.9077709611451943
524,10,15,pink,0.8881390593047035
525,11,15,pink,0.9020449897750511
526,12,15,pink,0.9044989775051124
527,13,15,pink,0.8973415132924335
528,14,15,pink,0.8871165644171779
529,15,15,pink,0.8969325153374234
530,16,15,pink,0.8979550102249488
531,17,15,pink,0.9038854805725971
532,18,15,pink,0.8910020449897751
533,19,15,pink,0.908997955010225
534,20,15,pink,0.8997955010224948
535,21,15,pink,0.905316973415133
536,22,15,pink,0.9137014314928426
537,23,15,pink,0.8932515337423312
538,24,15,pink,0.8875255623721882
539,0,15,babble,0.934560327198364
540,1,15,babble,0.9325153374233128
541,2,15,babble,0.9245398773006135
542,3,15,babble,0.9335378323108384
543,4,15,babble,0.9337423312883436
544,5,15,babble,0.9292433537832311
545,6,15,babble,0.9278118609406953
546,7,15,babble,0.9278118609406953
547,8,15,babble,0.9331288343558283
548,9,15,babble,0.9257668711656442
549,10,15,babble,0.9321063394683027
550,11,15,babble,0.941717791411043
551,12,15,babble,0.9296523517382413
552,13,15,babble,0.9386503067484663
553,14,15,babble,0.9300613496932515
554,15,15,babble,0.9321063394683027
555,16,15,babble,0.9267893660531697
556,17,15,babble,0.9257668711656442
557,18,15,babble,0.9235173824130879
558,19,15,babble,0.9337423312883436
559,20,15,babble,0.9343558282208589
560,21,15,babble,0.9261758691206544
561,22,15,babble,0.9329243353783231
562,23,15,babble,0.9329243353783231
563,24,15,babble,0.9292433537832311
564,0,15,kitchen,0.9374233128834356
565,1,15,kitchen,0.9464212678936605
566,2,15,kitchen,0.9449897750511247
567,3,15,kitchen,0.9462167689161555
568,4,15,kitchen,0.938241308793456
569,5,15,kitchen,0.9421267893660532
570,6,15,kitchen,0.9427402862985685
571,7,15,kitchen,0.9425357873210634
572,8,15,kitchen,0.9443762781186094
573,9,15,kitchen,0.9433537832310839
574,10,15,kitchen,0.938241308793456
575,11,15,kitchen,0.9486707566462168
576,12,15,kitchen,0.9447852760736196
577,13,15,kitchen,0.9429447852760736
578,14,15,kitchen,0.9451942740286299
579,15,15,kitchen,0.9429447852760736
580,16,15,kitchen,0.9421267893660532
581,17,15,kitchen,0.9441717791411043
582,18,15,kitchen,0.9429447852760736
583,19,15,kitchen,0.9451942740286299
584,20,15,kitchen,0.9394683026584867
585,21,15,kitchen,0.9423312883435583
586,22,15,kitchen,0.9494887525562372
587,23,15,kitchen,0.9460122699386503
588,24,15,kitchen,0.9464212678936605
589,0,15,office,0.9501022494887525
590,1,15,office,0.9578732106339468
591,2,15,office,0.9519427402862985
592,3,15,office,0.9550102249488752
593,4,15,office,0.9503067484662576
594,5,15,office,0.9537832310838446
595,6,15,office,0.9548057259713701
596,7,15,office,0.9519427402862985
597,8,15,office,0.9554192229038855
598,9,15,office,0.9548057259713701
599,10,15,office,0.9521472392638037
600,11,15,office,0.9554192229038855
601,12,15,office,0.9560327198364008
602,13,15,office,0.9498977505112475
603,14,15,office,0.9572597137014315
604,15,15,office,0.9560327198364008
605,16,15,office,0.9523517382413088
606,17,15,office,0.9564417177914111
607,18,15,office,0.9568507157464212
608,19,15,office,0.9521472392638037
609,20,15,office,0.9527607361963191
610,21,15,office,0.9539877300613497
611,22,15,office,0.9580777096114519
612,23,15,office,0.9558282208588957
613,24,15,office,0.9550102249488752
614,0,15,living,0.9517382413087935
615,1,15,living,0.9496932515337423
616,2,15,living,0.9496932515337423
617,3,15,living,0.9541922290388548
618,4,15,living,0.9478527607361963
619,5,15,living,0.9505112474437628
620,6,15,living,0.9498977505112475
621,7,15,living,0.9498977505112475
622,8,15,living,0.9513292433537832
623,9,15,living,0.9513292433537832
624,10,15,living,0.9550102249488752
625,11,15,living,0.9546012269938651
626,12,15,living,0.9533742331288344
627,13,15,living,0.9535787321063395
628,14,15,living,0.9539877300613497
629,15,15,living,0.9488752556237219
630,16,15,living,0.9533742331288344
631,17,15,living,0.9494887525562372
632,18,15,living,0.9474437627811861
633,19,15,living,0.9513292433537832
634,20,15,living,0.9484662576687116
635,21,15,living,0.9484662576687116
636,22,15,living,0.9531697341513292
637,23,15,living,0.9513292433537832
638,24,15,living,0.9498977505112475
639,0,12,white,0.7791411042944786
640,1,12,white,0.8576687116564418
641,2,12,white,0.8102249488752556
642,3,12,white,0.8269938650306748
643,4,12,white,0.867280163599182
644,5,12,white,0.8554192229038855
645,6,12,white,0.8793456032719836
646,7,12,white,0.8040899795501022
647,8,12,white,0.8243353783231084
648,9,12,white,0.8785276073619632
649,10,12,white,0.8239263803680982
650,11,12,white,0.8850715746421268
651,12,12,white,0.870756646216769
652,13,12,white,0.8486707566462167
653,14,12,white,0.7955010224948875
654,15,12,white,0.8443762781186094
655,16,12,white,0.8312883435582822
656,17,12,white,0.8314928425357874
657,18,12,white,0.8425357873210634
658,19,12,white,0.8482617586912066
659,20,12,white,0.8325153374233129
660,21,12,white,0.8531697341513292
661,22,12,white,0.8957055214723927
662,23,12,white,0.8096114519427403
663,24,12,white,0.8210633946830266
664,0,12,pink,0.7766871165644171
665,1,12,pink,0.8742331288343558
666,2,12,pink,0.781799591002045
667,3,12,pink,0.8249488752556238
668,4,12,pink,0.86359918200409
669,5,12,pink,0.8460122699386503
670,6,12,pink,0.8593047034764826
671,7,12,pink,0.8304703476482618
672,8,12,pink,0.8439672801635992
673,9,12,pink,0.8642126789366054
674,10,12,pink,0.8306748466257668
675,11,12,pink,0.8576687116564418
676,12,12,pink,0.8521472392638036
677,13,12,pink,0.838036809815951
678,14,12,pink,0.7977505112474438
679,15,12,pink,0.8388548057259714
680,16,12,pink,0.8288343558282208
681,17,12,pink,0.8531697341513292
682,18,12,pink,0.8226993865030675
683,19,12,pink,0.8525562372188139
684,20,12,pink,0.8288343558282208
685,21,12,pink,0.8658486707566462
686,22,12,pink,0.8852760736196319
687,23,12,pink,0.8102249488752556
688,24,12,pink,0.7885480572597137
689,0,12,babble,0.918200408997955
690,1,12,babble,0.9175869120654396
691,2,12,babble,0.9155419222903886
692,3,12,babble,0.9202453987730062
693,4,12,babble,0.9132924335378323
694,5,12,babble,0.9130879345603272
695,6,12,babble,0.9141104294478528
696,7,12,babble,0.9124744376278119
697,8,12,babble,0.9188139059304703
698,9,12,babble,0.9094069529652352
699,10,12,babble,0.9169734151329243
700,11,12,babble,0.9284253578732107
701,12,12,babble,0.916359918200409
702,13,12,babble,0.9233128834355828
703,14,12,babble,0.9165644171779141
704,15,12,babble,0.9165644171779141
705,16,12,babble,0.910838445807771
706,17,12,babble,0.9114519427402863
707,18,12,babble,0.9038854805725971
708,19,12,babble,0.9196319018404908
709,20,12,babble,0.9214723926380368
710,21,12,babble,0.90920245398773
711,22,12,babble,0.9188139059304703
712,23,12,babble,0.9161554192229039
713,24,12,babble,0.9094069529652352
714,0,12,kitchen,0.9276073619631902
715,1,12,kitchen,0.9374233128834356
716,2,12,kitchen,0.9386503067484663
717,3,12,kitchen,0.9372188139059304
718,4,12,kitchen,0.9316973415132924
719,5,12,kitchen,0.9335378323108384
